#symbol	Hepg2_with_UO126_reps_1&2_100ng	3ng15cycles	3ng20cycles	3ng30cycles	6ng15cycles	6ng20cycles	6ng30cycles	10ng15cycles	10ng20cycles	10ng30cycles	3ng15cycles_rep_2	3ng20cycles_rep_2	3ng30cycles_rep_2	6ng15cycles_rep_2	6ng20cycles_rep_2	6ng30cycles_rep_2	10ng15cycles_rep_2	10ng20cycles_rep_2	10ng30cycles_rep_2
hsa-let-7a-2-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-let-7a-3p	19.68	57.56	112.10	124.50	97.69	137.45	131.64	93.25	101.57	110.34	130.40	116.99	125.36	81.46	115.09	142.37	80.76	70.58	124.67
hsa-let-7a-5p,hsa-let-7b-5p,hsa-let-7c-5p	4779.99	17165.30	20130.60	19595.64	13767.53	14479.97	16061.74	11749.45	14459.77	12115.09	15746.44	19223.96	16815.17	15800.21	15773.45	15030.29	12956.81	11632.91	15293.88
hsa-let-7b-3p	0.61	0.00	2.16	1.92	0.00	0.00	1.06	0.00	0.00	1.05	3.95	0.00	0.00	0.00	0.00	1.86	0.00	0.00	1.00
hsa-let-7c-3p	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-let-7d-3p	7.99	102.33	122.88	117.79	26.21	68.73	58.39	43.17	59.12	49.39	118.54	178.41	125.36	81.46	42.79	45.60	43.07	37.87	53.57
hsa-let-7d-5p	78.40	313.38	263.00	354.33	266.87	289.63	341.85	307.38	288.04	298.98	300.31	365.59	365.19	269.66	305.44	370.36	384.96	252.20	334.46
hsa-let-7e-3p	1.54	0.00	0.00	0.00	0.00	3.27	6.37	5.18	1.52	4.20	11.85	2.92	0.00	2.81	1.48	4.65	0.00	0.00	0.50
hsa-let-7e-5p	424.59	1841.88	2022.11	2129.84	1489.22	1654.34	1711.38	1074.10	1353.80	1320.43	1647.75	1912.74	1898.63	1592.66	1538.98	1544.72	1281.41	1213.64	1574.65
hsa-let-7f-1-3p	0.31	0.00	0.00	0.00	0.00	3.27	1.06	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hsa-let-7f-2-3p	1.84	6.40	0.00	2.87	2.38	4.91	5.31	6.91	4.55	3.68	3.95	2.92	1.82	0.00	4.43	10.24	0.00	5.16	3.00
