#symbol	"Hepg2_with_UO126_reps_1&2_100ng"	"3ng15cycles"	"3ng20cycles"	"3ng30cycles"	"6ng15cycles"	"6ng20cycles"	"6ng30cycles"	"10ng15cycles"	"10ng20cycles"	"10ng30cycles"	"3ng15cycles_rep_2"	"3ng20cycles_rep_2"	"3ng30cycles_rep_2"	"6ng15cycles_rep_2"	"6ng20cycles_rep_2"	"6ng30cycles_rep_2"	"10ng15cycles_rep_2"	"10ng20cycles_rep_2"	"10ng30cycles_rep_2"
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	64	9	52	130	41	84	124	54	67	210	33	40	69	29	78	153	30	82	249
hsa-let-7a-5p,hsa-let-7b-5p,hsa-let-7c-5p	15547	2684	9338	20462	5778	8849	15129	6804	9538	23057	3985	6573	9255	5625	10690	16152	4813	13515	30546
hsa-let-7b-3p	2	0	1	2	0	0	1	0	0	2	1	0	0	0	0	2	0	0	2
hsa-let-7c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7d-3p	26	16	57	123	11	42	55	25	39	94	30	61	69	29	29	49	16	44	107
hsa-let-7d-5p	255	49	122	370	112	177	322	178	190	569	76	125	201	96	207	398	143	293	668
hsa-let-7e-3p	5	0	0	0	0	2	6	3	1	8	3	1	0	1	1	5	0	0	1
hsa-let-7e-5p	1381	288	938	2224	625	1011	1612	622	893	2513	417	654	1045	567	1043	1660	476	1410	3145
hsa-let-7f-1-3p	1	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0
hsa-let-7f-2-3p	6	1	0	3	1	3	5	4	3	7	1	1	1	0	3	11	0	6	6
hsa-let-7f-5p	31174	2325	7836	19339	5613	8515	15773	6887	9721	26444	3600	5063	8708	5281	9998	17927	4735	14874	30415
hsa-let-7g-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7g-5p,hsa-let-7i-5p	39161	1980	6429	13422	4872	7984	13052	7192	9871	24243	3126	4004	6345	4788	9246	15198	4610	16168	28151
hsa-let-7i-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-1-3p	43	2	4	11	3	2	10	8	8	20	4	4	4	7	11	19	5	9	34
hsa-miR-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-5p,hsa-miR-99a-5p	1094	59	170	304	182	238	304	237	228	640	96	112	179	114	257	305	139	441	595
hsa-miR-101-3p	8372	414	1103	2347	1210	1589	1972	1662	1652	4298	669	921	1244	981	1739	2166	1035	2719	3867
